;country_name;suc_seq;byear;duration;init_polyarchy;v2mecenefi_ord_0;v2mecenefi_ord_1;v2mecenefi_ord_2;v2mecenefi_ord_3;v2meharjrn_ord_0;v2meharjrn_ord_1;v2meharjrn_ord_2;v2meharjrn_ord_3;v2meharjrn_ord_4;v2meslfcen_ord_0;v2meslfcen_ord_1;v2meslfcen_ord_2;v2meslfcen_ord_3;v2mebias_ord_0;v2mebias_ord_1;v2mebias_ord_2;v2mebias_ord_3;v2mebias_ord_4;v2mecrit_ord_0;v2mecrit_ord_1;v2mecrit_ord_2;v2mecrit_ord_3;v2merange_ord_0;v2merange_ord_1;v2merange_ord_2;v2merange_ord_3;v2cldiscm_ord_0;v2cldiscm_ord_1;v2cldiscm_ord_2;v2cldiscm_ord_3;v2cldiscm_ord_4;v2cldiscw_ord_0;v2cldiscw_ord_1;v2cldiscw_ord_2;v2cldiscw_ord_3;v2cldiscw_ord_4;v2clacfree_ord_0;v2clacfree_ord_1;v2clacfree_ord_2;v2clacfree_ord_3;v2clacfree_ord_4;v2psparban_ord_0;v2psparban_ord_1;v2psparban_ord_2;v2psparban_ord_3;v2psparban_ord_4;v2psbars_ord_0;v2psbars_ord_1;v2psbars_ord_2;v2psbars_ord_3;v2psbars_ord_4;v2psoppaut_ord_0;v2psoppaut_ord_1;v2psoppaut_ord_2;v2psoppaut_ord_3;v2psoppaut_ord_4;v2elmulpar_ord_0;v2elmulpar_ord_1;v2elmulpar_ord_2;v2elmulpar_ord_3;v2elmulpar_ord_4;v2cseeorgs_ord_0;v2cseeorgs_ord_1;v2cseeorgs_ord_2;v2cseeorgs_ord_3;v2cseeorgs_ord_4;v2csreprss_ord_0;v2csreprss_ord_1;v2csreprss_ord_2;v2csreprss_ord_3;v2csreprss_ord_4;e_v2x_suffr_5C_0;e_v2x_suffr_5C_1;e_v2x_suffr_5C_2;e_v2x_suffr_5C_3;e_v2x_suffr_5C_4;v2elembaut_ord_0;v2elembaut_ord_1;v2elembaut_ord_2;v2elembaut_ord_3;v2elembaut_ord_4;v2elembcap_ord_0;v2elembcap_ord_1;v2elembcap_ord_2;v2elembcap_ord_3;v2elembcap_ord_4;v2elrgstry_ord_1;v2elrgstry_ord_2;v2elrgstry_ord_3;v2elrgstry_ord_4;v2elvotbuy_ord_0;v2elvotbuy_ord_1;v2elvotbuy_ord_2;v2elvotbuy_ord_3;v2elvotbuy_ord_4;v2elirreg_ord_0;v2elirreg_ord_1;v2elirreg_ord_2;v2elirreg_ord_3;v2elirreg_ord_4;v2elintim_ord_0;v2elintim_ord_1;v2elintim_ord_2;v2elintim_ord_3;v2elintim_ord_4;v2elpeace_ord_0;v2elpeace_ord_1;v2elpeace_ord_2;v2elpeace_ord_3;v2elpeace_ord_4;v2elfrfair_ord_0;v2elfrfair_ord_1;v2elfrfair_ord_2;v2elfrfair_ord_3;v2elfrfair_ord_4
1;Argentina;1;1979;4;0;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;4;NA;0;NA;NA;4;NA;0;4;NA;NA;0;4;NA;NA;0;NA;4;NA;NA;0;NA;NA;4;NA;0;NA;4;NA;NA;0;NA;NA;NA;4;0;NA;NA;NA;4;NA;NA;0;NA;4;NA;NA;NA;NA;4;0;NA;4;NA;NA;0;3;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;4;NA;NA;NA;NA;0;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;4
2;Austria;1;1918;1;1;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;0;NA;NA;NA;0;1;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;0;NA;NA;NA;0;1;NA;NA;NA;NA;NA;0;NA;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;NA;NA;1;NA;NA;0;1;NA;NA;NA;0;1;NA;NA;NA;NA;NA;0;NA;NA;0;1;NA;NA;NA;NA;0;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1
3;Austria;2;1934;21;0;NA;NA;NA;NA;NA;0;NA;NA;11;1;0;NA;11;0;NA;NA;11;NA;0;NA;NA;11;NA;0;NA;11;NA;0;NA;11;NA;NA;NA;0;11;NA;NA;1;0;11;NA;NA;0;NA;11;16;NA;0;NA;NA;11;0;NA;NA;NA;11;NA;NA;NA;NA;11;1;0;11;12;NA;NA;0;11;NA;12;NA;NA;NA;NA;0;0;NA;NA;11;NA;0;NA;NA;NA;11;NA;NA;NA;11;NA;NA;NA;NA;11;NA;NA;NA;NA;11;NA;NA;NA;NA;11;NA;NA;NA;NA;11;NA;NA;NA;NA;11
4;Barbados;1;1947;19;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;0;NA;19;NA;NA;NA;0;19;NA;NA;NA;0;19;NA;0;NA;19;NA;NA;NA;NA;4;0;NA;NA;NA;NA;0;NA;NA;0;5;9;NA;NA;NA;NA;4;NA;NA;0;19;NA;NA;NA;0;NA;19;NA;0;NA;NA;4;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;4;14;NA;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;4
5;Belarus;1;1991;3;2;NA;NA;NA;2;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;2;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;3;NA;NA;NA;0;NA;NA;NA;NA;3;0;NA;NA;NA;NA;0;NA;NA;0;3;NA;NA;NA;NA;0;NA;NA;3;NA;NA;NA;NA;NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;3;NA
6;Belgium;1;1941;7;0;NA;NA;NA;NA;NA;NA;0;4;NA;NA;0;4;5;NA;NA;0;4;5;NA;0;4;5;NA;NA;0;5;NA;0;NA;NA;4;NA;0;NA;4;NA;NA;NA;0;NA;4;NA;0;3;4;5;NA;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;NA;NA;5;NA;NA;NA;0;5;0;NA;4;NA;5;NA;NA;0;NA;NA;NA;NA;0;4;NA;NA;NA;NA;NA;0;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;5;NA;NA;NA;NA;5
7;Benin;1;1986;6;0;NA;NA;NA;NA;0;NA;4;NA;NA;0;NA;4;6;NA;NA;0;NA;4;0;4;6;NA;0;NA;4;5;NA;0;NA;NA;4;NA;0;NA;NA;4;NA;NA;0;4;5;0;NA;NA;4;6;NA;0;NA;NA;4;0;NA;4;5;6;NA;3;NA;NA;5;NA;0;NA;NA;4;NA;0;NA;NA;4;NA;NA;NA;NA;0;0;NA;4;NA;NA;NA;0;4;NA;NA;3;NA;5;NA;NA;NA;NA;3;NA;3;NA;5;NA;NA;NA;NA;3;NA;5;NA;NA;NA;3;NA;3;NA;NA;5;NA
8;Bolivia;1;1980;5;0;NA;NA;NA;NA;NA;0;NA;3;NA;0;NA;2;3;1;0;NA;2;3;NA;NA;0;2;0;2;3;NA;0;NA;NA;2;5;0;1;2;3;NA;0;2;3;NA;5;0;NA;1;2;3;0;NA;1;NA;2;NA;0;1;NA;2;NA;NA;NA;NA;0;NA;0;1;5;3;0;NA;2;3;4;NA;NA;NA;NA;0;0;3;5;NA;NA;NA;NA;0;1;NA;NA;0;5;NA;NA;NA;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;5;NA;NA;0;NA;5
9;Botswana;1;1957;9;0;NA;NA;NA;NA;NA;0;NA;9;NA;0;NA;9;NA;NA;0;3;9;NA;0;5;9;NA;0;NA;9;NA;NA;0;5;NA;9;NA;NA;0;9;NA;NA;NA;0;9;NA;NA;NA;NA;0;2;NA;0;2;3;9;0;NA;NA;3;5;NA;NA;4;NA;8;NA;0;NA;NA;9;NA;NA;NA;0;9;0;NA;NA;NA;4;0;9;NA;NA;NA;0;NA;NA;8;NA;NA;NA;4;NA;NA;NA;4;8;NA;NA;NA;4;8;NA;NA;NA;NA;4;8;NA;NA;NA;NA;4;NA;NA;NA;NA;4
10;Brazil;1;1975;14;0;NA;NA;NA;NA;NA;0;9;NA;NA;0;5;10;14;NA;NA;0;10;NA;NA;0;5;11;NA;0;4;10;0;1;4;10;13;NA;0;4;10;13;0;4;10;11;13;0;NA;4;5;10;NA;0;4;5;10;NA;NA;0;5;10;NA;NA;3;7;11;NA;0;8;11;14;NA;0;10;11;13;NA;NA;NA;0;10;NA;NA;0;10;NA;NA;NA;NA;0;13;NA;NA;3;11;NA;3;11;NA;NA;NA;NA;3;14;NA;NA;NA;3;7;11;NA;NA;NA;3;14;NA;3;NA;7;14
